ChannelCue1Mesh | type=Object3D | parent=ChannelCue1 | c=3 | pos=(0.000, 0.000, 0.000) | rot=(0.000, 0.000, 0.000)
ChannelCue1Top | type=Mesh | parent=ChannelCue1Mesh | c=0 | pos=(0.000, 0.002, 0.000) | rot=(0.000, 0.000, 0.000)
ChannelCue2 | type=Object3D | parent=Mixer | c=2 | pos=(0.020, 0.060, -0.028) | rot=(0.000, 0.000, 0.000)
ChannelCue2Bezel | type=Mesh | parent=ChannelCue2 | c=0 | pos=(0.000, 0.000, 0.000) | rot=(0.000, 0.000, 0.000)
ChannelCue2Body | type=Mesh | parent=ChannelCue2Mesh | c=0 | pos=(0.000, 0.001, 0.000) | rot=(0.000, 0.000, 0.000)
ChannelCue2Label | type=Mesh | parent=ChannelCue2Mesh | c=0 | pos=(0.000, 0.003, 0.000) | rot=(-1.571, 0.000, 0.000)
ChannelCue2Mesh | type=Object3D | parent=ChannelCue2 | c=3 | pos=(0.000, 0.000, 0.000) | rot=(0.000, 0.000, 0.000)
ChannelCue2Top | type=Mesh | parent=ChannelCue2Mesh | c=0 | pos=(0.000, 0.002, 0.000) | rot=(0.000, 0.000, 0.000)
ChannelFader1 | type=Object3D | parent=Mixer | c=2 | pos=(-0.020, 0.060, -0.069) | rot=(0.000, 0.000, 0.000)
ChannelFader1Handle | type=Object3D | parent=ChannelFader1 | c=2 | pos=(0.000, 0.001, 0.000) | rot=(0.000, 0.000, 0.000)
ChannelFader1HandleBody | type=Mesh | parent=ChannelFader1Handle | c=0 | pos=(0.000, 0.003, 0.000) | rot=(0.000, 0.000, 0.000)
ChannelFader1HandleRidge | type=Mesh | parent=ChannelFader1Handle | c=0 | pos=(0.000, 0.007, 0.000) | rot=(0.000, 0.000, 0.000)
ChannelFader1PanelLabel | type=Mesh | parent=ChassisKnobPanelLabels | c=0 | pos=(-0.020, 0.060, -0.058) | rot=(1.571, 0.000, 0.000)
ChannelFader1Slot | type=Mesh | parent=Chassis | c=0 | pos=(-0.020, 0.059, -0.069) | rot=(0.000, 0.000, 0.000)
ChannelFader1Tick0 | type=Mesh | parent=ChassisPanelLabels | c=0 | pos=(-0.020, 0.060, -0.090) | rot=(0.000, 0.000, 0.000)
ChannelFader1Tick1 | type=Mesh | parent=ChassisPanelLabels | c=0 | pos=(-0.020, 0.060, -0.083) | rot=(0.000, 0.000, 0.000)
ChannelFader1Tick2 | type=Mesh | parent=ChassisPanelLabels | c=0 | pos=(-0.020, 0.060, -0.076) | rot=(0.000, 0.000, 0.000)
ChannelFader1Tick3 | type=Mesh | parent=ChassisPanelLabels | c=0 | pos=(-0.020, 0.060, -0.069) | rot=(0.000, 0.000, 0.000)
ChannelFader1Tick4 | type=Mesh | parent=ChassisPanelLabels | c=0 | pos=(-0.020, 0.060, -0.062) | rot=(0.000, 0.000, 0.000)
ChannelFader1Tick5 | type=Mesh | parent=ChassisPanelLabels | c=0 | pos=(-0.020, 0.060, -0.055) | rot=(0.000, 0.000, 0.000)
ChannelFader1Tick6 | type=Mesh | parent=ChassisPanelLabels | c=0 | pos=(-0.020, 0.060, -0.049) | rot=(0.000, 0.000, 0.000)
ChannelFader1Track | type=Mesh | parent=ChannelFader1 | c=0 | pos=(0.000, 0.001, 0.000) | rot=(0.000, 0.000, 0.000)
ChannelFader2 | type=Object3D | parent=Mixer | c=2 | pos=(0.020, 0.060, -0.069) | rot=(0.000, 0.000, 0.000)
ChannelFader2Handle | type=Object3D | parent=ChannelFader2 | c=2 | pos=(0.000, 0.001, 0.000) | rot=(0.000, 0.000, 0.000)
ChannelFader2HandleBody | type=Mesh | parent=ChannelFader2Handle | c=0 | pos=(0.000, 0.003, 0.000) | rot=(0.000, 0.000, 0.000)
ChannelFader2HandleRidge | type=Mesh | parent=ChannelFader2Handle | c=0 | pos=(0.000, 0.007, 0.000) | rot=(0.000, 0.000, 0.000)
ChannelFader2PanelLabel | type=Mesh | parent=ChassisKnobPanelLabels | c=0 | pos=(0.020, 0.060, -0.058) | rot=(1.571, 0.000, 0.000)
ChannelFader2Slot | type=Mesh | parent=Chassis | c=0 | pos=(0.020, 0.059, -0.069) | rot=(0.000, 0.000, 0.000)
ChannelFader2Tick0 | type=Mesh | parent=ChassisPanelLabels | c=0 | pos=(0.020, 0.060, -0.090) | rot=(0.000, 0.000, 0.000)
ChannelFader2Tick1 | type=Mesh | parent=ChassisPanelLabels | c=0 | pos=(0.020, 0.060, -0.083) | rot=(0.000, 0.000, 0.000)
